"date","close","volume","open","high","low"
"20180214","322.3100","3948077.0000","320.8400","326.1700","318.5200"
"20180213","323.6600","4554631.0000","315.0200","324.1900","312.5105"
"20180212","315.7300","6224479.0000","316.1300","318.0800","306.2500"
"20180209","310.4200","12924430.0000","319.9300","320.9845","294.7600"
"20180208","315.2300","10296420.0000","343.3100","348.6200","314.6000"
"20180207","345.0000","6729682.0000","338.9900","346.0000","335.6600"
"20180206","333.9700","5080032.0000","325.2100","336.2200","323.5000"
"20180205","333.1300","4441166.0000","337.9700","344.4700","333.0000"
"20180202","343.7500","3696157.0000","348.4400","351.9500","340.5100"
"20180201","349.2500","4187440.0000","351.0000","359.6600","348.6300"
"20180131","354.3100","6199373.0000","347.5100","356.1900","345.1900"
"20180130","345.8200","4710684.0000","345.1400","348.2700","342.1700"
"20180129","349.5300","4738208.0000","339.8500","350.8500","338.2800"
"20180126","342.8500","4535457.0000","341.5000","344.0000","335.7100"
"20180125","337.6400","6725208.0000","348.2700","349.2000","336.4000"
"20180124","345.8900","5277386.0000","354.5800","354.7500","343.5200"
"20180123","352.7900","5447622.0000","360.0000","360.5000","351.0000"
"20180122","351.5600","6199777.0000","349.4000","357.8300","349.2000"
"20180119","350.0200","4871181.0000","345.0000","350.5899","342.6000"
"20180118","344.5700","5679629.0000","345.6700","352.3000","343.7400"
"20180117","347.1600","7092554.0000","340.4700","349.0000","339.7500"
"20180116","340.0600","6429234.0000","337.5400","345.0000","334.8000"
"20180112","336.2200","4822509.0000","338.6300","340.4100","333.6700"
"20180111","337.9500","6640863.0000","335.2400","344.8099","333.2600"
"20180110","334.8000","4303053.0000","332.2000","337.0000","330.0000"
"20180109","333.6900","7134525.0000","335.1600","338.8000","327.4050"
"20180108","336.4100","9832610.0000","316.0000","337.0199","315.5000"
"20180105","316.5800","4588728.0000","316.6200","317.2400","312.0000"
"20180104","314.6200","9944593.0000","312.8700","318.5500","305.6800"
"20180103","317.2500","4438520.0000","321.0000","325.2500","315.5500"
"20180102","320.5300","4345615.0000","312.0000","322.1099","311.0000"
"20171229","311.3500","3769504.0000","316.1800","316.4100","310.0000"
"20171228","315.3600","4306746.0000","311.7500","315.8200","309.5400"
"20171227","311.6400","4705084.0000","316.0000","317.6800","310.7500"
"20171226","317.2900","4368699.0000","323.8300","323.9400","316.5800"
"20171222","325.2000","4207602.0000","329.5100","330.9214","324.8200"
"20171221","331.6600","4369994.0000","329.5900","333.7400","327.2100"
"20171220","328.9800","5907378.0000","332.6900","333.1000","325.0400"
"20171219","331.1000","6820868.0000","340.2600","341.4925","330.3000"
"20171218","338.8700","5466546.0000","344.9000","346.7300","337.5800"
"20171215","343.4500","6921246.0000","342.0400","343.9000","335.7600"
"20171214","337.8900","5792024.0000","341.0100","347.4400","336.9000"
"20171213","339.0300","6217701.0000","340.9300","344.2200","336.5000"
"20171212","341.0300","8715570.0000","330.4500","341.4400","330.0300"
"20171211","328.9100","7926090.0000","314.6300","329.0100","313.7500"
"20171208","315.1300","3466088.0000","314.6000","316.9800","311.2600"
"20171207","311.2400","4779590.0000","312.0000","318.6341","311.0500"
"20171206","313.2600","7184477.0000","300.1000","313.3900","300.0000"
"20171205","303.7000","4643708.0000","302.0000","308.0000","301.0000"
"20171204","305.2000","5834227.0000","306.5000","308.2650","300.6100"
"20171201","306.5300","4286082.0000","305.4400","310.3200","305.0500"
"20171130","308.8500","4345434.0000","308.5600","310.7000","304.5400"
"20171129","307.5400","8757463.0000","317.3000","318.0000","301.2300"
"20171128","317.5500","4941703.0000","316.3600","320.0000","313.9200"
"20171127","316.8100","4537779.0000","313.2500","317.3400","309.5100"
"20171124","315.5500","3244065.0000","313.7900","316.4100","311.0000"
"20171122","312.6000","4913283.0000","316.7700","317.4200","311.8400"
"20171121","317.8100","7256381.0000","310.8600","318.2300","308.7100"
"20171120","308.7400","8241821.0000","313.7900","315.5000","304.7500"
"20171117","315.0500","13720830.0000","325.6700","326.6700","313.1500"
"20171116","312.5000","5794409.0000","313.9900","318.1400","311.3000"
"20171115","311.3000","5951835.0000","306.0100","312.4900","301.5000"
"20171114","308.7000","5661904.0000","315.0000","316.3500","306.9000"
"20171113","315.4000","7565242.0000","300.1300","316.8000","299.1100"
"20171110","302.9900","4621080.0000","302.5000","308.3600","301.8500"
"20171109","302.9900","5440173.0000","302.5000","304.4600","296.3000"
"20171108","304.3900","4725355.0000","305.5000","306.8900","301.3001"
"20171107","306.0500","5284844.0000","301.0200","306.5000","300.0300"
"20171106","302.7800","6480689.0000","307.0000","307.5000","299.0100"
"20171103","306.0900","8885933.0000","299.5000","306.2500","295.1300"
"20171102","299.2600","19771280.0000","300.1300","308.6900","292.6300"
"20171101","321.0800","8242487.0000","332.2500","332.6089","320.2600"
"20171031","331.5300","5650062.0000","320.2300","331.9500","320.1800"
"20171030","320.0800","4247619.0000","319.1800","323.7800","317.2500"
"20171027","320.8700","6968365.0000","319.7500","324.5900","316.6600"
"20171026","326.1700","5010087.0000","327.7800","330.2300","323.2000"
"20171025","325.8400","8583619.0000","336.7000","337.5000","323.5600"
"20171024","337.3400","4485692.0000","338.8000","342.8000","336.1600"
"20171023","337.0200","5739598.0000","349.8800","349.9500","336.2500"
"20171020","345.1000","4925657.0000","352.6900","354.5500","344.3400"
"20171019","351.8100","5055715.0000","355.5600","357.1465","348.2000"
"20171018","359.6500","4936024.0000","355.9700","363.0000","354.1300"
"20171017","355.7500","3290290.0000","350.9100","356.2200","350.0700"
"20171016","350.6000","5373090.0000","353.7600","354.4800","347.1600"
"20171013","355.5700","3538807.0000","356.9800","358.4900","353.6800"
"20171012","355.6800","4073552.0000","352.9500","359.7800","352.6400"
"20171011","354.6000","4494733.0000","353.8900","357.6000","351.1500"
"20171010","355.5900","6972263.0000","346.8000","355.6300","345.5305"
"20171009","342.9400","7461461.0000","349.6500","351.7500","342.6700"
"20171006","356.8800","4272866.0000","353.1000","360.0992","352.2500"
"20171005","355.3300","4167913.0000","356.0000","357.4350","351.3500"
"20171004","355.0100","8147995.0000","351.2500","358.6200","349.6000"
"20171003","348.1400","10122550.0000","335.9000","348.5500","331.2800"
"20171002","341.5300","5227547.0000","342.5200","343.7000","335.5100"
"20170929","341.1000","5099051.0000","341.8600","344.6800","338.6010"
"20170928","339.6000","5309779.0000","339.8800","342.7500","335.4000"
"20170927","340.9700","6027375.0000","349.9000","351.4890","340.5000"
"20170926","345.2500","7149649.0000","350.9300","351.2400","340.9000"
"20170925","344.9900","7587158.0000","353.1500","357.4690","342.8800"
"20170922","351.0900","8142895.0000","366.4900","369.8999","350.8800"
